Ref#,Difficulty,Challenge Name,Solution
#01,Easy,African Cities,"SELECT CITY.NAME
FROM CITY
JOIN COUNTRY
ON CITY.COUNTRYCODE = COUNTRY.CODE
WHERE CONTINENT = 'Africa';"
#02,Easy,Average Population,"SELECT FLOOR(AVG(POPULATION))
FROM CITY;"
#03,Easy,Average Population of Each Continent,"SELECT DISTINCT COUNTRY.CONTINENT, FLOOR(AVG(CITY.POPULATION))
FROM COUNTRY
JOIN CITY
ON COUNTRY.CODE = CITY.COUNTRYCODE
GROUP BY CONTINENT;"
#04,Medium,Contest Leaderboard,"SELECT H.hacker_id, H.name, SUM(M.max_score) AS total_score
FROM (
    SELECT S.hacker_id, S.challenge_id, max(S.score) as max_score
    FROM Submissions S GROUP BY S.hacker_id, S.challenge_id
    ) M
JOIN Hackers H ON H.hacker_id = M.hacker_id
GROUP BY H.hacker_id, H.name
HAVING total_score > 0
ORDER BY total_score DESC, H.hacker_id ASC;"
#05,Easy,Draw The Triangle 1,"SET @no_of_lines = 20 + 1;

SELECT REPEAT('* ', @no_of_lines := @no_of_lines -1) 
FROM INFORMATION_SCHEMA.TABLES;"
#06,Easy,Draw The Triangle 2,"SET @no_of_lines = 0;

SELECT REPEAT('* ', @no_of_lines := @no_of_lines +1) 
FROM INFORMATION_SCHEMA.TABLES
LIMIT 20;"
#07,Easy,Employee Names,"SELECT name
FROM Employee
ORDER BY name;"
#08,Easy,Employee Salaries,"SELECT name
FROM Employee
WHERE salary > 2000
AND months < 10
ORDER BY employee_id;"
#09,Easy,Higher Than 75 Marks,"SELECT NAME
FROM STUDENTS
WHERE Marks > 75
ORDER BY RIGHT(NAME,3), ID;"
#10,Easy,Japan Population,"SELECT SUM(POPULATION)
FROM CITY
WHERE COUNTRYCODE = 'JPN';"
#11,Easy,Japanese Cities' Attributes,"SELECT *
FROM CITY
WHERE COUNTRYCODE = ""JPN"";"
#12,Medium,Placements,"SELECT s.Name
FROM Students s
JOIN Packages p1 ON s.ID = p1.ID
JOIN Friends f ON s.ID = f.ID
JOIN Packages p2 ON f.Friend_ID = p2.ID
WHERE p2.Salary > p1.Salary
ORDER BY p2.Salary;"
#13,Easy,Population Census ,"SELECT SUM(CITY.POPULATION)
FROM CITY
JOIN COUNTRY
ON CITY.COUNTRYCODE = COUNTRY.CODE
WHERE CONTINENT = 'Asia';"
#14,Easy,Population Density Difference,"SELECT MAX(POPULATION) - MIN(POPULATION)
FROM CITY;"
#15,Easy,Revising Aggregations - The Count Function,"SELECT Count(*)
FROM CITY
WHERE POPULATION > 100000;"
#16,Easy,Revising Aggregations - The Sum Function,"SELECT SUM(POPULATION)
FROM CITY
WHERE DISTRICT = 'California';"
#17,Easy,Revising Aggregations – Averages,"SELECT AVG(POPULATION)
FROM CITY
WHERE DISTRICT = 'California';"
#18,Easy,Revising the Select Query I,"SELECT *
FROM CITY
WHERE COUNTRYCODE = 'USA' AND POPULATION > 100000;"
#19,Easy,Revising the Select Query II,"SELECT NAME
FROM CITY
WHERE COUNTRYCODE = 'USA' AND POPULATION > 120000;"
